vessel_name,imo,year
KYRAKATINGO,9779965,2017
ADVANTAGE SUMMER,9419890,2010
LEVANTINE SEA,9815616,2018
ADVANTAGE SUN,9513141,2011
MARLIN LA PLATA,9823560,2022
ALMI ODYSSEY,9579559,2013
MARLIN LAGOS,9823584,2022
DIMITRIOS,9900007,2023
SEAGUARDIAN,9174268,2021
EAGLE SAN JOSE,9795139,2018
SEAODYSSEY,9740419,2017
ENERGY DIONE,9995973,2025
SEAWAYS SHENANDOAH,9607966,2014
MARAN HERCULES,9761360,2017
SFL LION,9664770,2015
MARAN HERMES,9761346,2017
SFL PANTHER,9664782,2015
NORDIC BREEZE,9588445,2011
SOUTHERN RESONANCE,1023516,2025
PATHWAY,1033705,2020
STAVANGER STAR,9984871,2025
AQUABLISS,9922835,2022
MARIA PRINCESS,9380661,2009
ASPEN SPIRIT,9427627,2009
PROMITHEAS,9305611,2019
ATHENS SPIRIT,9594793,2008
URAGA PRINCESS,9439204,2010
ATLANTA SPIRIT,9578646,2011
APOLLO,9234628,2018
BAKER SPIRIT,9408073,2009
ELANDRA BAY,9821691,2018
BARCELONA SPIRIT,9578634,2011
ELANDRA FIRTH,9749532,2016
BEIJING SPIRIT,9418597,2010
ELANDRA GULF,9749544,2016
CASCADE SPIRIT,9399492,2009
ELANDRA SWALLOW,9945291,2023
COPPER SPIRIT,9427639,2010
ELANDRA SWIFT,9945306,2024
LONDON SPIRIT,9312303,2009
GREEN ADMIRE,9927196,2022
LOS ANGELES SPIRIT,9318072,2012
GREEN ADVENTURE,9927201,2022
MARE PICENUM,9449405,2011
GREEN ANAX,9927213,2017
MARE SICULUM,9457892,2011
GREEN AURA,9808168,2011
MOSCOW SPIRIT,9418602,2010
GREEN AZURE,9934644,2008
RIO SPIRIT,9419565,2013
KWK EXCELSUS,9728411,2016
SUMMIT SPIRIT,9404833,2008
SAND,9379612,2009
SYDNEY SPIRIT,9594781,2012
SEA STAR,9346897,2012
TAHOE SPIRIT,9427641,2010
SFL TAURUS,9978339,2024
TIANLONG SPIRIT,9378369,2009
SFL TIGRIS,9982691,2024
VAIL SPIRIT,9399478,2009
TENACITY VENTURE,9773052,2017
ZENITH SPIRIT,9404845,2009
UNITED VENTURE,9486908,2010
SEABLISS,9587207,2012
SEAGRACE,9934826,2022
SEAMAJESTY,9601223,2012
SEAVIGOUR,9774185,2009
SEAVIOLET,9790983,2018
SEAVISION,9790971,2018
DR IRENE TSAKOS,9993755,2025
MINERVA EVROPI,9785237,2018
MONTE ULIA,9803285,2019
MONTE URQUIOLA,9803273,2019
POPI SAZAKLIS,9817494,2018
SEA AMBER,9772931,2016
SILVERWAY,9742912,2022
ADVANTAGE SUGAR,9410973,2011
ADVANTAGE SWEET,9587192,2012
ALMI SUN,9579535,2013
BOLD WARRIOR,1058092,2025
ECO BEL AIR,9794056,2019
ECO BEVERLY HILLS,9794068,2019
ECO OCEANO CA,9794020,2021
ECO WEST COAST,9902811,2021
GENEVA STAR,1028528,2025
GLORIA MARIS,9899997,2021
IMOLA,1014876,2025
INVICTUS,1011082,2012
JENGGALA NASSIM,9457907,2013
MARLIN SANTORINI,9835836,2019
MARLIN SARDINIA,9835862,2019
MARLIN SHIKOKU,9841627,2019
MARLIN SICILY,9835848,2019
NEW LIBERTY,9221645,2022
NORDIC HUNTER,9921075,2022
ORIENT M,9907225,2022
PERTAMINA HALMAHERA,9872688,2020
RS TARA,9765354,2016
SAFEEN ELIZABETH,9524449,2011
SEA CORAL,9920708,2022
SPYROS,9877171,2012
STENA SUNRISE,9592214,2012
STENA SUNSHINE,9585900,2013
STOIC WARRIOR,1028762,2025
DECATHLON,9462926,2012
SPYROS K,9565948,2011
SEA SAPPHIRE,9557226,2022
ZEUS,1001506,2011
AL AGAILA,9415404,2009
APACHE,8955586,2016
ELANDRA EAGLE,9792474,2017
ELANDRA FALCON,9792486,2017
LILA MARSEILLE,9418614,2011
MARAN ASPASIA,9879997,2020
MARAN HELIOS,9761358,2017
MARAN PHOEBE,9868156,2020
MIAOULIS 21,9886641,2021
NORDIC HARRIER,9921063,2016
RIO ORINOCCO,9586734,2011
SEA ONYX,9922108,2022
SEAWAYS MONTAUK,9779537,2017
AQUAFREEDOM,9853008,2022
AQUAHONOR,9925136,2022
NEPTUNE MOON,9784013,2019
PLUTO MOON,9784025,2019
SATURN MOON,9814430,2015
WHITE MOON,9588158,2018
